Palabra,Frecuencia
say,1814
new,1433
year,969
company,651
win,620
world,609
game,553
report,551
oil,519
monday,518
wednesday,505
thursday,502
tuesday,495
friday,480
week,473
price,465
million,461
inc,452
time,448
stock,448
microsoft,446
plan,441
iraq,441
yesterday,424
york,419
day,411
president,409
lead,408
kill,403
high,401
official,365
open,358
government,354
security,354
season,347
corp,341
group,341
rise,334
team,333
united,333
people,332
end,330
month,329
share,328
state,325
take,316
market,316
service,315
sunday,315
second,311
