text,label,num_words,text_processed
"Red Hat Appoints New CFO. September 2, 2004 -- (WEB HOST INDUSTRY REVIEW) -- Linux distributor Red Hat (redhat.com) announced on Thursday that it has appointed Charles E. Peters, Jr.",Sci_Tech,30,red hat appoint new cfo september web host industry review linux distributor red hat redhat announce thursday appoint charles e peters jr
"Sprint, SBC In Hotspot Roaming Deal. Sprint and SBC Communications Friday announced a two-way roaming deal that will enable the customers of each vendor to access the hotspots run by the other.",Sci_Tech,32,sprint sbc hotspot roam deal sprint sbc communication friday announce way roam deal enable customer vendor access hotspot run
Radio Outage Grounds West Coast Flights. Airport operations were back to normal early Wednesday following a radio failure at a Federal Aviation Administration control facility that tied up travelers for hours.,Business,31,radio outage ground west coast flights airport operation normal early wednesday follow radio failure federal aviation administration control facility tie traveler hour
"Hollywood lawsuits to strike Net pirates. Hollywood studios are about to take the long-anticipated step of firing a barrage of lawsuits at some of the most prolific Internet pirates, echoing the legal strategy that the recording industry already has used with limited success.",Sci_Tech,43,hollywood lawsuit strike net pirate hollywood studio long anticipate step fire barrage lawsuit prolific internet pirate echo legal strategy recording industry limited success
Custis Takes Control. Family and Tony Robbins have matured and molded University of Maryland free safety Ray Custis into a trusted leader and anchor of the Terrapins' defense.,Sports,28,custis take control family tony robbin mature mold university maryland free safety ray custis trusted leader anchor terrapin defense
CA execs can keep bonuses--for now. Computer Associates International shareholders on Wednesday struck down a proposal to recoup money paid out to executives during a long-running accounting scandal.,Sci_Tech,28,exec bonus computer associate international shareholder wednesday strike proposal recoup money pay executive long run accounting scandal
"WorldCom, Microsoft cases before EU court. Two of the European Union #39;s landmark antitrust decisions against US companies are in court this week as WorldCom Inc. seeks a moral victory and Microsoft Corp.",Business,33,worldcom microsoft case eu court european union landmark antitrust decision company court week worldcom inc seek moral victory microsoft corp
"EU Court Overturns Bar on Merger (Reuters). Reuters - The European Commission was wrong to bar the takeover bid by U.S. telecoms firm WorldCom for rival Sprint, a European Union court said on Tuesday, annulling the action taken four years ago.",Business,41,eu court overturn bar merger european commission wrong bar takeover bid telecom firm worldcom rival sprint european union court say tuesday annul action take year ago
Homer-happy Mariners end skid. A four-pitch sequence in the fifth inning Friday night produced something the Mariners hadn #39;t done in nearly eight years. Miguel Olivo hit a home run to left-center field.,Sports,33,homer happy mariner end skid pitch sequence fifth inning friday night produce mariner hadn nearly year miguel olivo hit home run leave center field
"Philip Morris lab discovered passive smoking risk in 1982: Lancet. PARIS (AFP) - A lab owned by US tobacco giant Philip Morris uncovered evidence in the early 1980s about potential risks from passive smoking but its findings were never made public, a study charges.",Sci_Tech,44,philip morris lab discover passive smoking risk lancet paris lab own tobacco giant philip morris uncover evidence early potential risk passive smoking finding public study charge
"Update 2: Top Citigroup Executives Swap Jobs. In a move Citigroup Inc. said was aimed at broadening the experience of up-and-coming executives, two of its top managers are swapping jobs.",Business,30,update citigroup executive swap job citigroup inc say aim broaden experience come executive manager swap job
"My Yahoo Embraces RSS Feeds. My Yahoo Embraces RSS Feeds I started using RSS in January 2000 after Blake Carver sent me a exasperated e-mail asking why, for heaven's sake, I wasn't using it. Surely, he noted, I could see that RSS was the greatest thing since sliced soap. (He may have used slightly different words.) ...",Sci_Tech,57,yahoo embrace rss feed yahoo embrace rss feed start rss january blake carver send exasperated e mail ask heaven sake wasn surely note rss great thing sliced soap slightly different word
Chinese astronauts to wear lighter outfits. China has developed a light and removable spacesuit for its astronauts set to embark on China #39;s second manned space mission scheduled for next September.,Sci_Tech,31,chinese astronaut wear light outfit china develop light removable spacesuit astronaut set embark china second manned space mission schedule september
"Game over for Hewitt and Clijsters. Kim Clijsters has stunned the tennis world by announcing her break up with Lleyton Hewitt, just four months before their scheduled wedding.",Sports,28,game hewitt clijster kim clijsters stun tennis world announce break lleyton hewitt month schedule wedding
Mets and Randolph Launch a New Era. Willie Randolph walked into Shea Stadium on Thursday and was introduced as the first African-American manager of a major league team in New York.,Sports,31,met randolph launch new era willie randolph walk shea stadium thursday introduce african american manager major league team new york
"NC State 17, Virginia Tech 16. TA McLendon ran for 93 yards and a touchdown for North Carolina State and Virginia Tech kicker Brandon Pace missed a 43-yard field goal attempt as time expired as the Wolfpack beat the Hokies 17-16 Saturday.",Sports,42,nc state virginia tech ta mclendon run yard touchdown north carolina state virginia tech kicker brandon pace miss yard field goal attempt time expire wolfpack beat hokie saturday
"Japan quakes kill eight. Tokyo - A strong earthquake measuring 6.8 on the Richter scale and swarms of aftershocks rocked central Japan and the capital Tokyo on Saturday, killing at least eight people including four children, officials said.",World,38,japan quake kill tokyo strong earthquake measure richter scale swarm aftershock rock central japan capital tokyo saturday kill people include child official say
"Athletics: Shaheen record run lifts after-show party. For Saif Saaeed Shaheen, the Memorial Van Damme in the Stade Roi Baudouin last night was the Lord Mayor #39;s Show, not after it. He made the most of it, steeplechasing in all his",Sports,41,athletic shaheen record run lift party saif saaeed shaheen memorial van damme stade roi baudouin night lord mayor steeplechase
"Scientists map Chromosome 5. GENETICS experts reported today that they had mapped Chromosome 5 of the human genome, a coil of DNA linked to several rare but crippling disorders including spinal muscular atrophy.",Sci_Tech,33,scientist map chromosome genetic expert report today map chromosome human genome coil dna link rare crippling disorder include spinal muscular atrophy
"New mobile music service launches. com December 15, 2004, 3:10 PM PT. Seattle-based mobile music company Melodeo said Wednesday that it won worldwide rights to sell songs from Warner Music Group through cell phone networks.",Sci_Tech,35,new mobile music service launch december pm pt seattle base mobile music company melodeo say wednesday win worldwide right sell song warner music group cell phone network
"U.N. to Debate Anti-Cloning Treaty (AP). AP - The highly contentious issue of cloning is back on the U.N. agenda, with support among member states for a treaty banning human cloning but divisions over the use of human embryos for medical research.",Sci_Tech,42,n debate anti cloning treaty highly contentious issue cloning n agenda support member state treaty ban human cloning division use human embryo medical research
"Kuznetsova Reaches First Grand Slam Semi. NEW YORK (Reuters) - Svetlana Kuznetsova squeezed past fellow Russian Nadia Petrova 7-6, 6-3 at the U.S. Open on Wednesday to reach her first grand slam semi-final.",Sports,33,kuznetsova reach grand slam semi new york svetlana kuznetsova squeeze past fellow russian nadia petrova open wednesday reach grand slam semi final
"Defense Leaders Faulted by Panel in Prison Abuse. Leadership failures at the highest levels contributed to an environment in which detainees were abused, a panel concluded.",World,26,defense leader fault panel prison abuse leadership failure high level contribute environment detainee abuse panel conclude
Bush's Backers Donate Heavily to Veteran Ads. Swift Boat Veterans for Truth said it had raised $6.7 million in a windfall brought about by its high profile in recent weeks.,World,30,bush backer donate heavily veteran ad swift boat veteran truth say raise million windfall bring high profile recent week
"Boeing, EADS Likely to Make Tanker Bids. The Pentagon will hold a competition to replace its aging fleet of refueling tankers, potentially pitting aerospace giant Boeing Co.",Business,27,boeing ead likely tanker bid pentagon hold competition replace age fleet refuel tanker potentially pit aerospace giant boeing co
"Driver #39;s license gets new high-tech features. Minnesota will soon begin issuing new driver #39;s licenses that contain high-tech features to curb counterfeiting, as well as a quot;status check quot; that will show a driver #39;s immigration status.",Sci_Tech,38,driver license get new high tech feature minnesota soon begin issue new driver license contain high tech feature curb counterfeiting status check driver immigration status
"Dhaka Rally Attack Kills 14, Injures Hundreds. A grenade attack at a rally for the Awami Union Party in the Bangladeshi capital Dhaka left 14 people dead and more than 300 injured.",World,32,dhaka rally attack kill injure hundred grenade attack rally awami union party bangladeshi capital dhaka leave people dead injure
"SGI launches Linux-based visual computer line. Silicon Graphics Inc. (SGI) on Monday will launch the successor line to its Onyx visualization systems. Called Prism, the systems will be based on Intel Corp.'s Itanium 2 processor and the Linux operating system.",Sci_Tech,40,sgi launches linux base visual computer line silicon graphics inc sgi monday launch successor line onyx visualization system call prism system base intel corp itanium processor linux operating system
"State Street Research acquired. A historic name in mutual funds will soon vanish from Boston #39;s investing scene, with BlackRock Inc. #39;s agreement yesterday to acquire State Street Research amp; Management",Business,31,state street research acquire historic mutual fund soon vanish boston invest scene blackrock inc agreement yesterday acquire state street research amp management
"Verizon, Qwest Ask Court to Block Rules. Verizon and Qwest asked a federal court to block temporary rules forcing the companies to lease phone lines to rivals for at least another six months. &lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2"" color=""#666666""&gt;&lt;B&gt;-Reuters&lt;/B&gt;&lt;/FONT&gt;",Sci_Tech,39,verizon qwest ask court block rule verizon qwest ask federal court block temporary rule force company lease phone line rival month font face verdana ms sans serif arial helvetica size color font
"AirTran, Southwest seek Midway gates. AirTran and Southwest emerged Thursday as the leading airline bidders for valuable gates at Chicago #39;s Midway Airport, where troubled discounter ATA is selling assets for cash.",Business,32,airtran southwest seek midway gates airtran southwest emerge thursday lead airline bidder valuable gate chicago midway airport troubled discounter ata sell asset cash
Arafat #39;s condition improves. An aide to Yasser Arafat said yesterday that the Palestinian leader #39;s condition was improving after treatment by doctors in Paris.,World,25,arafat condition improve aide yasser arafat say yesterday palestinian leader condition improve treatment doctor paris
"Adams and Paisley Edge Towards Peace Deal. Gerry Adams shook the hand of Northern Ireland Chief Constable Hugh Orde in Tony Blairs Downing Street office today, as the republican leadership and the Reverend",World,33,adam paisley edge peace deal gerry adams shake hand northern ireland chief constable hugh orde tony blair downing street office today republican leadership reverend
"WTO hits US with sanctions. The World Trade Organization imposed penalties yesterday on exports ranging from apples to textiles, escalating a trade dispute the Bush administration has tried to defuse by unsuccessfully urging Congress to repeal legislation aimed at protecting US steel makers.",Business,43,wto hit sanction world trade organization impose penalty yesterday export range apple textile escalate trade dispute bush administration try defuse unsuccessfully urge congress repeal legislation aim protect steel maker
